ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-06-07,1748.6466,1442.8703058687022,1898.4407401058554,1748.6466,1748.6466,-60.647875219499156,-60.647875219499156,-60.647875219499156,5.336687123407378,5.336687123407378,5.336687123407378,-65.98456234290653,-65.98456234290653,-65.98456234290653,0.0,0.0,0.0,1687.9987247805009
2017-06-08,1748.8574786619718,1458.061747872535,1934.035903827179,1748.8574786619718,1748.8574786619718,-46.06070368788718,-46.06070368788718,-46.06070368788718,15.91713800007435,15.91713800007435,15.91713800007435,-61.97784168796152,-61.97784168796152,-61.97784168796152,0.0,0.0,0.0,1702.7967749740847
2017-06-09,1749.0683573239437,1478.6834410707263,1902.3691239444408,1749.0683573239437,1749.0683573239437,-52.2793232902213,-52.2793232902213,-52.2793232902213,5.120206233346699,5.120206233346699,5.120206233346699,-57.39952952356799,-57.39952952356799,-57.39952952356799,0.0,0.0,0.0,1696.7890340337224
2017-06-12,1749.700993309859,1490.3969718718317,1957.7056051168454,1749.700993309859,1749.700993309859,-27.670919045196484,-27.670919045196484,-27.670919045196484,12.922290980533743,12.922290980533743,12.922290980533743,-40.59321002573023,-40.59321002573023,-40.59321002573023,0.0,0.0,0.0,1722.0300742646625
2017-06-16,1750.5445079577464,1506.9763349292746,1980.9984014333722,1750.5445079577464,1750.5445079577464,-7.9255684097298085,-7.9255684097298085,-7.9255684097298085,5.120206233456161,5.120206233456161,5.120206233456161,-13.045774643185968,-13.045774643185968,-13.045774643185968,0.0,0.0,0.0,1742.6189395480167
2017-06-19,1751.177143943662,1540.1813746179814,2003.776358153,1751.177143943662,1751.177143943662,21.89722159404818,21.89722159404818,21.89722159404818,12.922290980544286,12.922290980544286,12.922290980544286,8.974930613503892,8.974930613503892,8.974930613503892,0.0,0.0,0.0,1773.0743655377103
2017-06-22,1751.8097799295774,1584.464233753063,2031.6277183656234,1751.8097799295774,1751.8097799295774,45.65647448818348,45.65647448818348,45.65647448818348,15.917137999946023,15.917137999946023,15.917137999946023,29.739336488237456,29.739336488237456,29.739336488237456,0.0,0.0,0.0,1797.4662544177609
2018-03-21,1809.1687759859158,1542.0750445381461,2012.6889303834885,1809.1687759859158,1809.1687759859158,-34.81426451284941,-34.81426451284941,-34.81426451284941,5.336687123740599,5.336687123740599,5.336687123740599,-40.15095163659001,-40.15095163659001,-40.15095163659001,0.0,0.0,0.0,1774.3545114730664
2018-03-22,1809.3796546478875,1548.9446388356769,2000.7070440179461,1809.3796546478875,1809.3796546478875,-30.8120907666925,-30.8120907666925,-30.8120907666925,15.917137999929091,15.917137999929091,15.917137999929091,-46.729228766621596,-46.729228766621596,-46.729228766621596,0.0,0.0,0.0,1778.567563881195
2018-03-23,1809.5905333098594,1510.0286138059182,1986.0510508254301,1809.5905333098594,1809.5905333098594,-48.1592823635697,-48.1592823635697,-48.1592823635697,5.1202062334452885,5.1202062334452885,5.1202062334452885,-53.27948859701499,-53.27948859701499,-53.27948859701499,0.0,0.0,0.0,1761.4312509462898
2018-03-26,1810.2231692957748,1525.7311717859695,1997.7554565630073,1810.2231692957748,1810.2231692957748,-58.648986858869975,-58.648986858869975,-58.648986858869975,12.92229098047652,12.92229098047652,12.92229098047652,-71.5712778393465,-71.5712778393465,-71.5712778393465,0.0,0.0,0.0,1751.574182436905
2018-03-27,1810.4340479577468,1517.8973372190426,1975.7951937185182,1810.4340479577468,1810.4340479577468,-67.62754036891329,-67.62754036891329,-67.62754036891329,9.230510156602898,9.230510156602898,9.230510156602898,-76.85805052551618,-76.85805052551618,-76.85805052551618,0.0,0.0,0.0,1742.8065075888335
2018-03-28,1810.6449266197185,1504.7622087937725,1945.0996242308554,1810.6449266197185,1810.6449266197185,-76.25094552754182,-76.25094552754182,-76.25094552754182,5.336687123721576,5.336687123721576,5.336687123721576,-81.58763265126339,-81.58763265126339,-81.58763265126339,0.0,0.0,0.0,1734.3939810921768
2018-04-02,1811.6993199295778,1484.7966415513106,1956.2782830692743,1811.6993199295778,1811.6993199295778,-81.9682586868046,-81.9682586868046,-81.9682586868046,12.922290980621119,12.922290980621119,12.922290980621119,-94.89054966742572,-94.89054966742572,-94.89054966742572,0.0,0.0,0.0,1729.7310612427732
2018-04-03,1811.9101985915495,1490.5703028916648,1956.6181184154618,1811.9101985915495,1811.9101985915495,-86.06726071771637,-86.06726071771637,-86.06726071771637,9.230510156450656,9.230510156450656,9.230510156450656,-95.29777087416703,-95.29777087416703,-95.29777087416703,0.0,0.0,0.0,1725.842937873833
2018-04-04,1812.1210772535214,1500.0967684490438,1942.3428548286352,1812.1210772535214,1812.1210772535214,-89.62621059648079,-89.62621059648079,-89.62621059648079,5.336687123702549,5.336687123702549,5.336687123702549,-94.96289772018335,-94.96289772018335,-94.96289772018335,0.0,0.0,0.0,1722.4948666570406
2018-04-05,1812.3319559154932,1523.7476596484044,1981.089898716497,1812.3319559154932,1812.3319559154932,-78.00059181556819,-78.00059181556819,-78.00059181556819,15.917138000009844,15.917138000009844,15.917138000009844,-93.91772981557803,-93.91772981557803,-93.91772981557803,0.0,0.0,0.0,1734.331364099925
2018-04-06,1812.542834577465,1495.6810489720579,1946.9374006345577,1812.542834577465,1812.542834577465,-87.08579733717177,-87.08579733717177,-87.08579733717177,5.120206233374705,5.120206233374705,5.120206233374705,-92.20600357054647,-92.20600357054647,-92.20600357054647,0.0,0.0,0.0,1725.4570372402934
2018-04-09,1813.1754705633805,1504.0679494884012,1977.5118904674573,1813.1754705633805,1813.1754705633805,-70.73251407483528,-70.73251407483528,-70.73251407483528,12.922290980384544,12.922290980384544,12.922290980384544,-83.65480505521982,-83.65480505521982,-83.65480505521982,0.0,0.0,0.0,1742.4429564885452
2018-04-11,1813.5972278873242,1521.9980808926498,1965.1371832775287,1813.5972278873242,1813.5972278873242,-70.47471666214172,-70.47471666214172,-70.47471666214172,5.336687123632139,5.336687123632139,5.336687123632139,-75.81140378577386,-75.81140378577386,-75.81140378577386,0.0,0.0,0.0,1743.1225112251825
2018-04-12,1813.8081065492959,1521.455819009818,1988.1886636489676,1813.8081065492959,1813.8081065492959,-55.561660055473546,-55.561660055473546,-55.561660055473546,15.91713800007659,15.91713800007659,15.91713800007659,-71.47879805555014,-71.47879805555014,-71.47879805555014,0.0,0.0,0.0,1758.2464464938223
2018-04-13,1814.0189852112678,1511.1032501768188,1993.098378816555,1814.0189852112678,1814.0189852112678,-61.857446004344,-61.857446004344,-61.857446004344,5.120206233493506,5.120206233493506,5.120206233493506,-66.9776522378375,-66.9776522378375,-66.9776522378375,0.0,0.0,0.0,1752.1615392069239
2018-04-16,1814.6516211971832,1532.1602430010914,1984.4994571491684,1814.6516211971832,1814.6516211971832,-40.290579598518796,-40.290579598518796,-40.290579598518796,12.922290980529137,12.922290980529137,12.922290980529137,-53.21287057904793,-53.21287057904793,-53.21287057904793,0.0,0.0,0.0,1774.3610415986643
2018-04-17,1814.8624998591552,1539.00727349941,2013.9706171388837,1814.8624998591552,1814.8624998591552,-39.53438815102346,-39.53438815102346,-39.53438815102346,9.230510156539966,9.230510156539966,9.230510156539966,-48.76489830756342,-48.76489830756342,-48.76489830756342,0.0,0.0,0.0,1775.3281117081317
2018-04-18,1815.0733785211269,1536.3938346570337,2021.1049314342488,1815.0733785211269,1815.0733785211269,-39.149088789158206,-39.149088789158206,-39.149088789158206,5.3366871235617355,5.3366871235617355,5.3366871235617355,-44.485775912719944,-44.485775912719944,-44.485775912719944,0.0,0.0,0.0,1775.9242897319687
2018-04-19,1815.2842571830988,1564.149461230116,2004.8876612051506,1815.2842571830988,1815.2842571830988,-24.50700839038691,-24.50700839038691,-24.50700839038691,15.917137999934262,15.917137999934262,15.917137999934262,-40.42414639032118,-40.42414639032118,-40.42414639032118,0.0,0.0,0.0,1790.7772487927118
2018-04-20,1815.4951358450705,1557.1256617156982,2014.1659017953489,1815.4951358450705,1815.4951358450705,-31.500784069655605,-31.500784069655605,-31.500784069655605,5.120206233304121,5.120206233304121,5.120206233304121,-36.620990302959726,-36.620990302959726,-36.620990302959726,0.0,0.0,0.0,1783.994351775415
2018-04-24,1816.3386504929579,1570.6022715738777,2029.71530015339,1816.3386504929579,1816.3386504929579,-15.313328381613522,-15.313328381613522,-15.313328381613522,9.230510156781516,9.230510156781516,9.230510156781516,-24.543838538395036,-24.543838538395036,-24.543838538395036,0.0,0.0,0.0,1801.0253221113444
2018-04-27,1816.9712864788735,1564.4256474935557,2026.289973790739,1816.9712864788735,1816.9712864788735,-13.988904679567257,-13.988904679567257,-13.988904679567257,5.120206233422922,5.120206233422922,5.120206233422922,-19.10911091299018,-19.10911091299018,-19.10911091299018,0.0,0.0,0.0,1802.9823817993063
2018-04-30,1817.6039224647889,1571.0400810818737,2053.3779429442225,1817.6039224647889,1817.6039224647889,-3.765601171637683,-3.765601171637683,-3.765601171637683,12.922290980684279,12.922290980684279,12.922290980684279,-16.68789215232196,-16.68789215232196,-16.68789215232196,0.0,0.0,0.0,1813.8383212931512
2018-05-02,1818.0256797887325,1576.3832015754438,2028.4278980129625,1818.0256797887325,1818.0256797887325,-11.239607616011964,-11.239607616011964,-11.239607616011964,5.336687123472297,5.336687123472297,5.336687123472297,-16.57629473948426,-16.57629473948426,-16.57629473948426,0.0,0.0,0.0,1806.7860721727207
2018-05-03,1818.2365584507045,1569.570371947355,2045.7975332429874,1818.2365584507045,1818.2365584507045,-1.0079620817892043,-1.0079620817892043,-1.0079620817892043,15.917138000015015,15.917138000015015,15.917138000015015,-16.92510008180422,-16.92510008180422,-16.92510008180422,0.0,0.0,0.0,1817.2285963689153
2018-05-04,1818.4474371126762,1584.2586555972066,2042.5922844153824,1818.4474371126762,1818.4474371126762,-12.403470241265914,-12.403470241265914,-12.403470241265914,5.120206233392298,5.120206233392298,5.120206233392298,-17.523676474658213,-17.523676474658213,-17.523676474658213,0.0,0.0,0.0,1806.0439668714102
2018-05-07,1819.0800730985918,1583.9486987913792,2049.4547235616405,1819.0800730985918,1819.0800730985918,-7.764790199932418,-7.764790199932418,-7.764790199932418,12.92229098058176,12.92229098058176,12.92229098058176,-20.68708118051418,-20.68708118051418,-20.68708118051418,0.0,0.0,0.0,1811.3152828986595
